index,filename,l1,l2,l3,l4
0,image_0.jpg,1.0,1.0,0.0,1.0
1,image_1.jpg,1.0,0.0,0.0,0.0
2,image_2.jpg,1.0,1.0,0.0,0.0
3,image_3.jpg,1.0,1.0,0.0,0.0
4,image_4.jpg,1.0,1.0,0.0,0.0
5,image_5.jpg,1.0,0.0,1.0,0.0
6,image_6.jpg,1.0,1.0,0.0,0.0
7,image_7.jpg,1.0,1.0,1.0,0.0
8,image_8.jpg,1.0,1.0,1.0,0.0
9,image_9.jpg,1.0,0.0,1.0,0.0
10,image_10.jpg,1.0,1.0,1.0,0.0
11,image_11.jpg,1.0,1.0,1.0,0.0
12,image_12.jpg,1.0,0.0,0.0,0.0
13,image_13.jpg,1.0,1.0,1.0,0.0
14,image_14.jpg,1.0,1.0,0.0,0.0
15,image_15.jpg,0.0,0.0,0.0,0.0
16,image_16.jpg,1.0,1.0,0.0,0.0
17,image_17.jpg,1.0,1.0,0.0,0.0
18,image_18.jpg,1.0,1.0,1.0,1.0
19,image_19.jpg,1.0,1.0,1.0,0.0
20,image_20.jpg,1.0,1.0,0.0,0.0
21,image_21.jpg,1.0,1.0,0.0,0.0
22,image_22.jpg,1.0,1.0,0.0,0.0
23,image_23.jpg,1.0,1.0,1.0,0.0
24,image_24.jpg,1.0,1.0,0.0,1.0
25,image_25.jpg,0.0,1.0,0.0,0.0
26,image_26.jpg,1.0,1.0,1.0,0.0
27,image_27.jpg,1.0,0.0,0.0,1.0
28,image_28.jpg,1.0,1.0,0.0,0.0
29,image_29.jpg,1.0,1.0,0.0,0.0
30,image_30.jpg,1.0,1.0,0.0,0.0
31,image_31.jpg,1.0,1.0,0.0,0.0
32,image_32.jpg,1.0,1.0,1.0,0.0
33,image_33.jpg,0.0,1.0,0.0,1.0
34,image_34.jpg,1.0,1.0,0.0,0.0
35,image_35.jpg,1.0,1.0,0.0,0.0
36,image_36.jpg,1.0,1.0,1.0,0.0
37,image_37.jpg,0.0,0.0,1.0,0.0
38,image_38.jpg,1.0,0.0,0.0,0.0
39,image_39.jpg,1.0,1.0,0.0,1.0
40,image_40.jpg,1.0,1.0,1.0,0.0
41,image_41.jpg,1.0,1.0,0.0,0.0
42,image_42.jpg,1.0,1.0,1.0,0.0
43,image_43.jpg,1.0,0.0,1.0,0.0
44,image_44.jpg,1.0,1.0,1.0,0.0
45,image_45.jpg,1.0,1.0,0.0,0.0
46,image_46.jpg,1.0,0.0,1.0,1.0
47,image_47.jpg,1.0,1.0,0.0,0.0
48,image_48.jpg,1.0,1.0,1.0,1.0
49,image_49.jpg,0.0,1.0,0.0,0.0
50,image_50.jpg,1.0,1.0,1.0,0.0
51,image_51.jpg,0.0,1.0,0.0,0.0
52,image_52.jpg,1.0,1.0,1.0,0.0
53,image_53.jpg,1.0,1.0,1.0,0.0
54,image_54.jpg,1.0,1.0,1.0,0.0
55,image_55.jpg,1.0,1.0,1.0,0.0
56,image_56.jpg,0.0,1.0,1.0,0.0
57,image_57.jpg,1.0,1.0,0.0,1.0
58,image_58.jpg,1.0,1.0,1.0,0.0
59,image_59.jpg,1.0,1.0,0.0,0.0
60,image_60.jpg,1.0,1.0,0.0,0.0
61,image_61.jpg,1.0,1.0,1.0,0.0
62,image_62.jpg,1.0,1.0,0.0,0.0
63,image_63.jpg,1.0,1.0,1.0,0.0
64,image_64.jpg,1.0,1.0,1.0,0.0
65,image_65.jpg,1.0,1.0,1.0,0.0
66,image_66.jpg,1.0,1.0,1.0,1.0
67,image_67.jpg,1.0,1.0,0.0,0.0
68,image_68.jpg,1.0,1.0,1.0,0.0
69,image_69.jpg,1.0,0.0,0.0,0.0
70,image_70.jpg,1.0,0.0,0.0,0.0
71,image_71.jpg,1.0,1.0,0.0,0.0
72,image_72.jpg,1.0,1.0,0.0,0.0
73,image_73.jpg,1.0,1.0,0.0,0.0
74,image_74.jpg,1.0,1.0,1.0,0.0
75,image_75.jpg,1.0,0.0,0.0,0.0
76,image_76.jpg,1.0,1.0,1.0,0.0
77,image_77.jpg,1.0,1.0,1.0,0.0
78,image_78.jpg,1.0,1.0,0.0,0.0
79,image_79.jpg,1.0,1.0,1.0,0.0
80,image_80.jpg,1.0,0.0,1.0,0.0
81,image_81.jpg,1.0,1.0,0.0,0.0
82,image_82.jpg,1.0,1.0,1.0,0.0
83,image_83.jpg,1.0,1.0,0.0,0.0
84,image_84.jpg,0.0,1.0,1.0,1.0
85,image_85.jpg,0.0,1.0,0.0,0.0
86,image_86.jpg,1.0,1.0,1.0,0.0
87,image_87.jpg,1.0,1.0,1.0,0.0
88,image_88.jpg,1.0,1.0,0.0,0.0
89,image_89.jpg,1.0,1.0,0.0,0.0
90,image_90.jpg,1.0,1.0,1.0,0.0
91,image_91.jpg,0.0,1.0,0.0,0.0
92,image_92.jpg,1.0,1.0,0.0,0.0
93,image_93.jpg,1.0,1.0,1.0,0.0
94,image_94.jpg,1.0,0.0,1.0,0.0
95,image_95.jpg,1.0,1.0,0.0,0.0
96,image_96.jpg,1.0,1.0,0.0,0.0
97,image_97.jpg,1.0,1.0,1.0,0.0
98,image_98.jpg,0.0,1.0,0.0,0.0
99,image_99.jpg,1.0,1.0,0.0,0.0
100,image_100.jpg,1.0,1.0,0.0,0.0
101,image_101.jpg,1.0,1.0,0.0,0.0
102,image_102.jpg,1.0,1.0,0.0,0.0
103,image_103.jpg,1.0,0.0,1.0,0.0
104,image_104.jpg,0.0,0.0,0.0,0.0
105,image_105.jpg,1.0,0.0,0.0,1.0
106,image_106.jpg,1.0,0.0,0.0,0.0
107,image_107.jpg,1.0,1.0,0.0,0.0
108,image_108.jpg,1.0,1.0,1.0,0.0
109,image_109.jpg,1.0,1.0,0.0,0.0
110,image_110.jpg,1.0,0.0,0.0,1.0
111,image_111.jpg,1.0,1.0,1.0,0.0
112,image_112.jpg,1.0,1.0,1.0,0.0
113,image_113.jpg,1.0,1.0,1.0,0.0
114,image_114.jpg,1.0,1.0,1.0,0.0
115,image_115.jpg,1.0,0.0,1.0,0.0
116,image_116.jpg,1.0,0.0,0.0,0.0
117,image_117.jpg,1.0,1.0,1.0,0.0
118,image_118.jpg,1.0,1.0,0.0,0.0
119,image_119.jpg,1.0,1.0,0.0,0.0
120,image_120.jpg,1.0,1.0,0.0,0.0
121,image_121.jpg,1.0,1.0,0.0,0.0
122,image_122.jpg,1.0,1.0,1.0,0.0
123,image_123.jpg,1.0,1.0,1.0,0.0
124,image_124.jpg,1.0,0.0,0.0,0.0
125,image_125.jpg,1.0,1.0,0.0,0.0
126,image_126.jpg,1.0,0.0,1.0,0.0
127,image_127.jpg,1.0,1.0,0.0,0.0
128,image_128.jpg,1.0,1.0,0.0,0.0
129,image_129.jpg,1.0,1.0,0.0,0.0
130,image_130.jpg,1.0,1.0,0.0,0.0
131,image_131.jpg,0.0,1.0,1.0,0.0
132,image_132.jpg,1.0,1.0,1.0,0.0
133,image_133.jpg,1.0,1.0,0.0,0.0
134,image_134.jpg,1.0,0.0,0.0,0.0
135,image_135.jpg,0.0,1.0,1.0,1.0
136,image_136.jpg,1.0,1.0,0.0,0.0
137,image_137.jpg,1.0,1.0,0.0,0.0
138,image_138.jpg,1.0,0.0,0.0,0.0
139,image_139.jpg,1.0,1.0,1.0,0.0
140,image_140.jpg,1.0,1.0,0.0,0.0
141,image_141.jpg,1.0,1.0,1.0,1.0
142,image_142.jpg,1.0,1.0,0.0,0.0
143,image_143.jpg,1.0,0.0,1.0,0.0
144,image_144.jpg,1.0,1.0,0.0,1.0
145,image_145.jpg,1.0,0.0,1.0,0.0
146,image_146.jpg,1.0,1.0,0.0,0.0
147,image_147.jpg,0.0,0.0,0.0,0.0
148,image_148.jpg,1.0,1.0,1.0,0.0
149,image_149.jpg,1.0,1.0,0.0,0.0
150,image_150.jpg,1.0,0.0,0.0,0.0
151,image_151.jpg,1.0,1.0,1.0,0.0
152,image_152.jpg,1.0,0.0,0.0,0.0
153,image_153.jpg,1.0,1.0,0.0,0.0
154,image_154.jpg,1.0,1.0,0.0,0.0
155,image_155.jpg,1.0,1.0,1.0,0.0
156,image_156.jpg,1.0,1.0,0.0,1.0
157,image_157.jpg,1.0,1.0,0.0,0.0
158,image_158.jpg,1.0,0.0,0.0,0.0
159,image_159.jpg,1.0,0.0,1.0,0.0
160,image_160.jpg,1.0,1.0,0.0,0.0
161,image_161.jpg,1.0,1.0,0.0,0.0
162,image_162.jpg,1.0,1.0,1.0,0.0
163,image_163.jpg,1.0,1.0,1.0,0.0
164,image_164.jpg,1.0,1.0,1.0,1.0
165,image_165.jpg,1.0,1.0,1.0,0.0
166,image_166.jpg,1.0,1.0,1.0,0.0
167,image_167.jpg,0.0,1.0,1.0,0.0
168,image_168.jpg,1.0,0.0,1.0,0.0
169,image_169.jpg,0.0,0.0,1.0,0.0
170,image_170.jpg,1.0,1.0,0.0,0.0
171,image_171.jpg,1.0,1.0,0.0,0.0
172,image_172.jpg,1.0,0.0,1.0,0.0
173,image_173.jpg,1.0,1.0,1.0,0.0
174,image_174.jpg,1.0,1.0,1.0,0.0
175,image_175.jpg,1.0,1.0,1.0,0.0
176,image_176.jpg,0.0,1.0,1.0,0.0
